11,10,14,8,32,31,9,8,11,9,2,2,2,10,7,45,46,45,44,23,8,9,13,2,2,5,11,13,45,48,47,48,48,37,33,23,12,7,9,10,8,6,29,32,23,9,5,12,9,10
10,2,8,6,32,32,21,8,8,2,2,2,2,9,12,45,47,47,45,44,22,11,13,14,13,12,4,30,45,44,46,48,48,49,36,21,6,8,8,7,10,7,20,31,34,23,8,9,11,14
13,2,10,13,14,27,18,8,7,12,10,8,9,12,13,44,45,47,47,45,42,5,12,15,4,18,38,46,44,46,48,48,48,38,22,11,6,9,8,7,7,5,8,7,7,7,7,6,12,9
2,2,2,13,15,6,8,9,11,6,4,5,5,8,4,23,38,45,47,47,46,24,7,17,40,45,46,47,47,45,44,39,24,14,6,5,5,11,10,8,7,7,11,6,8,12,13,12,14,12
2,2,2,2,2,13,12,11,6,33,45,45,31,7,7,7,5,19,44,45,44,49,40,44,46,47,47,47,47,46,45,29,8,8,11,11,7,8,10,7,7,8,8,8,8,13,2,2,2,5
2,2,2,2,2,2,9,6,18,46,48,48,46,19,8,10,11,9,23,45,45,49,45,43,47,46,47,47,47,47,48,39,9,10,9,10,9,4,6,8,6,7,8,8,14,7,2,2,2,14
11,12,5,2,2,2,3,11,6,35,46,45,37,8,5,12,13,9,7,18,27,23,22,33,42,44,44,44,44,47,44,46,15,7,7,13,13,10,10,10,11,30,38,25,7,10,2,2,2,14
6,4,15,11,3,2,2,2,11,6,19,21,7,8,10,13,14,12,13,11,7,12,14,16,13,8,4,14,43,46,47,46,18,5,12,2,2,2,10,8,38,46,44,45,22,11,9,3,10,6
15,20,8,4,12,2,2,2,3,10,5,10,12,11,12,14,13,8,5,14,9,11,2,2,2,10,12,7,16,45,48,45,17,6,13,2,2,8,15,16,44,46,47,46,38,15,3,15,5,22
35,38,37,32,14,9,5,2,2,2,10,14,10,9,9,13,11,10,9,11,13,1,2,2,10,15,12,8,7,20,36,33,10,9,11,11,13,12,7,36,43,47,46,47,48,41,28,17,15,31
47,47,48,47,43,25,8,6,2,2,13,11,7,22,15,11,10,8,5,10,13,13,13,6,15,27,24,11,11,6,4,7,6,6,8,4,3,8,20,45,44,45,46,46,46,46,46,39,23,23
47,45,47,47,46,43,14,16,5,2,14,7,20,40,48,48,43,19,6,13,13,15,15,43,44,46,48,38,7,9,7,10,6,22,33,33,25,25,36,47,44,39,28,30,43,46,48,46,28,6
48,47,47,47,46,44,23,6,10,14,10,6,22,44,45,48,45,23,8,14,10,9,43,46,47,46,45,42,6,10,2,9,6,15,36,47,45,34,34,26,16,6,6,7,21,39,45,45,37,6
46,46,47,47,45,38,8,11,11,13,10,7,25,48,49,48,40,8,14,12,13,24,44,47,46,46,48,37,7,10,3,14,12,7,8,16,20,18,9,5,14,10,9,13,7,21,37,49,46,28
46,47,47,44,39,8,14,11,13,9,12,8,36,49,50,37,11,8,12,12,7,37,45,47,46,46,30,15,6,6,12,10,15,8,11,14,6,7,14,11,2,2,2,9,10,9,34,49,47,48
47,47,47,45,14,15,7,2,2,10,6,10,37,49,36,22,8,12,13,9,8,37,43,46,44,20,3,8,4,6,6,13,4,2,2,2,9,9,15,2,2,2,2,9,7,17,39,47,48,46
47,47,47,44,7,9,2,2,2,15,8,32,47,38,22,12,8,12,9,9,8,26,43,44,23,11,10,13,6,22,22,6,11,2,2,2,2,11,3,2,2,2,2,9,7,22,45,46,43,47
46,46,47,47,18,12,10,11,9,4,34,48,49,37,23,5,6,11,10,8,8,15,29,18,4,13,3,11,3,22,33,17,7,11,2,2,2,2,2,2,2,2,8,14,7,22,46,46,45,47
43,44,46,47,25,8,11,12,5,31,46,47,46,40,23,4,4,4,7,7,7,21,6,3,9,4,2,13,7,16,33,35,20,7,13,14,2,2,2,14,12,10,8,10,7,22,43,45,47,46
42,47,48,45,24,5,5,8,35,46,47,46,48,44,19,7,6,4,10,22,34,28,6,13,14,2,2,7,6,16,37,49,45,35,9,9,12,9,14,13,4,5,6,7,8,24,41,49,49,47
48,48,45,29,7,5,4,32,45,46,47,47,45,44,7,10,10,8,7,33,48,42,21,5,13,12,13,14,6,22,41,45,48,47,23,6,6,10,10,6,21,33,28,22,22,33,34,36,25,9
46,48,39,8,10,14,6,40,46,46,47,47,46,46,7,9,12,11,6,21,40,47,45,34,11,9,12,5,21,43,47,48,46,36,22,19,15,15,18,29,46,47,45,45,35,34,23,22,5,6
47,48,29,4,8,8,5,27,44,45,47,47,47,46,8,9,14,11,12,7,27,46,48,46,39,13,5,21,43,45,47,45,44,22,5,18,33,47,48,49,49,46,47,46,36,22,22,5,6,11
47,43,16,8,10,10,6,5,22,44,47,47,43,37,8,8,10,11,13,7,13,38,48,45,48,38,33,45,44,47,47,46,43,19,4,7,30,47,47,38,24,32,39,39,33,24,23,20,5,6
46,33,5,6,8,15,10,9,8,9,33,39,27,7,13,8,8,8,9,10,5,12,37,46,46,49,49,48,46,47,47,46,44,22,5,6,12,22,14,4,3,5,11,22,23,22,35,38,33,27
37,8,8,6,23,33,22,3,10,10,16,9,9,11,9,12,10,8,11,12,9,9,11,30,36,35,40,46,43,47,47,46,46,28,6,8,7,6,14,13,13,10,15,4,6,36,45,45,47,46
6,13,12,5,22,30,23,3,12,2,1,14,13,14,13,14,12,11,10,10,7,8,7,23,23,22,21,39,44,46,46,44,44,23,6,9,12,14,1,2,2,3,12,13,6,35,45,47,47,47
14,5,8,9,9,8,8,12,14,2,2,13,13,13,12,5,10,12,14,13,10,8,7,22,21,6,6,8,21,34,40,40,30,7,13,14,2,2,2,1,2,2,15,9,7,35,46,47,47,47
10,2,2,2,12,12,9,11,13,15,9,10,13,4,2,2,2,2,2,1,12,4,19,24,8,8,10,13,6,7,6,7,8,6,11,14,2,2,2,13,11,11,9,14,6,31,45,47,47,47
9,5,2,2,15,9,7,10,9,12,6,4,9,2,2,2,2,2,2,2,12,6,30,34,8,12,2,5,9,10,10,9,8,7,8,13,4,10,13,3,8,9,10,11,6,25,44,47,46,46
5,11,12,13,7,10,14,14,10,5,5,5,11,3,2,2,2,2,2,10,14,14,49,47,12,11,2,2,2,15,12,11,11,5,11,14,16,6,8,29,36,20,5,6,5,21,41,45,43,36
5,8,7,5,6,8,6,6,5,22,35,11,14,12,2,13,13,9,11,15,7,42,44,44,18,15,2,2,2,15,13,5,12,18,14,12,17,25,33,42,49,37,31,30,23,10,6,3,7,15
5,7,15,32,40,41,38,35,38,46,45,28,9,13,14,14,10,11,9,7,35,44,47,45,23,11,12,2,14,14,7,28,42,45,45,46,46,47,46,34,36,49,45,45,38,9,11,4,2,2
10,29,47,47,45,46,47,47,47,48,47,35,3,10,13,13,8,6,7,25,46,46,47,45,17,10,14,13,11,7,19,43,44,47,47,47,46,44,39,23,32,46,45,45,44,6,9,2,2,2
22,36,46,45,47,47,46,44,46,47,48,33,4,11,15,14,11,10,8,39,47,47,47,46,11,13,13,14,9,8,18,39,46,46,45,44,46,40,20,8,21,43,46,47,44,8,7,2,2,2
36,35,49,46,46,47,48,47,47,47,47,33,7,13,2,2,5,11,4,36,44,46,46,40,6,10,10,14,10,8,5,23,39,43,41,35,15,5,14,9,10,39,48,45,44,14,11,2,3,7
48,36,30,36,48,46,47,48,45,47,45,42,5,10,11,4,14,9,7,23,37,38,33,11,16,6,1,2,11,6,5,5,11,13,12,7,12,9,2,9,4,22,45,47,44,17,15,13,9,3
48,45,21,23,34,49,49,47,45,47,47,47,33,6,10,16,10,6,16,31,23,7,4,12,2,2,2,2,10,7,4,7,8,7,5,15,12,2,2,2,16,8,32,44,46,23,3,11,10,17
47,46,37,23,37,45,48,48,46,47,47,45,47,43,41,36,39,42,45,45,36,5,11,3,2,2,2,14,6,16,21,6,12,12,12,15,2,2,2,2,15,8,15,24,33,35,23,8,5,20
47,48,48,40,44,45,46,46,48,48,47,45,47,46,46,46,46,46,47,46,44,3,1,2,2,2,10,4,28,45,40,6,9,3,2,2,2,2,2,9,14,9,5,6,23,48,47,30,7,4
47,48,48,48,44,47,47,44,46,37,37,45,44,46,47,47,47,47,47,46,43,9,2,2,2,13,3,34,46,44,44,15,11,2,2,2,2,4,10,7,8,8,12,7,22,45,48,46,20,7
46,48,48,47,47,47,47,47,31,7,8,19,41,44,46,47,47,47,47,45,34,16,2,2,9,15,9,44,47,47,43,26,15,2,2,2,2,10,7,26,38,21,7,6,22,44,44,45,21,12
47,49,46,45,47,47,45,42,9,5,13,14,5,39,47,47,47,46,44,41,8,11,14,11,8,9,23,47,46,47,44,34,15,3,2,2,2,18,19,46,44,43,22,4,18,46,46,45,29,14
45,34,36,44,47,47,43,19,5,10,12,11,9,14,45,47,46,45,41,10,6,7,11,8,10,25,41,46,44,44,47,27,15,2,2,2,2,17,22,46,46,43,31,5,6,42,45,45,44,3
36,23,22,22,26,23,10,9,14,2,2,10,15,9,42,47,46,41,10,11,9,9,12,6,25,47,49,46,42,35,24,9,12,2,2,9,11,8,20,47,46,45,31,8,7,40,45,47,46,21
42,35,23,10,5,7,10,9,2,2,13,10,20,40,49,48,37,10,14,13,2,5,12,8,20,39,38,20,5,10,16,9,8,15,9,4,6,6,27,47,48,46,26,6,6,38,45,47,45,45
47,48,27,7,12,13,2,2,2,13,5,36,43,44,46,47,23,6,8,3,2,2,15,13,3,12,11,4,9,7,14,10,4,9,17,19,15,22,43,48,45,41,22,4,5,37,47,47,46,47
45,46,25,6,10,2,2,2,5,8,32,43,46,47,47,45,24,5,12,14,13,2,2,2,8,14,13,10,2,2,10,6,18,42,45,46,43,45,48,48,39,23,7,7,6,21,47,46,47,47
45,44,16,13,13,2,2,2,11,7,43,45,47,47,47,44,45,28,8,6,11,11,2,2,2,2,2,1,2,2,13,7,42,44,46,44,46,49,46,38,24,10,9,17,6,20,46,46,47,47
47,39,8,13,12,7,15,11,3,22,47,48,47,45,46,47,45,45,44,22,6,12,2,2,2,2,2,2,2,3,10,21,45,47,47,46,46,43,34,34,23,7,16,13,9,15,44,47,47,47
